"","id_resp","id_within","id_vignette","deck","reihevig","firstborn","need","help","daughter","g_need","g_help","g_firstborn","dau_vig","son_vig","child_vig","iv_received","iv_parents","iv_grandparents","iv_siblings","lastiv","siblings","brothers","sisters","r_firstborn","child","n_sons","n_daughters","gifted","principles","rel_mo","rel_fa","rel_ch","hhparent","hhhelp","relstatus","partner","partnerhh","age","deutsch","mig","female","bundl","abi","employ","student","unemp","unemp_nosearch","disabled","retired","house","r_income","gideo1","gideo2","gideo3","gideo4","abi2"
"86",31,2,13,5,2,3,2,1,0,2,1,3,NA,5000,5000,1,1,0,0,1,1,1,2,0,1,2,1,1,1,1,NA,1,0,0,4,1,1,51,1,1,0,10,1,1,0,0,0,0,0,0,NA,3,4,1,1,2
"87",31,3,15,5,3,1,1,3,0,1,3,1,NA,5000,5000,1,1,0,0,1,1,1,2,0,1,2,1,1,1,1,NA,1,0,0,4,1,1,51,1,1,0,10,1,1,0,0,0,0,0,0,NA,3,4,1,1,2
"88",32,1,11,4,1,3,3,1,0,3,1,3,NA,5000,5000,1,1,0,0,4,1,1,1,0,0,NA,NA,NA,NA,1,NA,NA,0,0,2,1,1,27,1,1,1,8,1,1,0,0,0,0,0,0,4,1,3,1,3,2
"89",32,2,12,4,3,2,2,3,0,2,3,2,NA,5000,5000,1,1,0,0,4,1,1,1,0,0,NA,NA,NA,NA,1,NA,NA,0,0,2,1,1,27,1,1,1,8,1,1,0,0,0,0,0,0,4,1,3,1,3,2
"90",32,3,10,4,2,1,1,2,0,1,2,1,NA,5000,5000,1,1,0,0,4,1,1,1,0,0,NA,NA,NA,NA,1,NA,NA,0,0,2,1,1,27,1,1,1,8,1,1,0,0,0,0,0,0,4,1,3,1,3,2
"91",33,1,19,7,2,2,3,1,0,3,1,2,NA,5000,5000,1,1,1,0,1,1,1,0,0,0,NA,NA,NA,NA,2,1,NA,0,0,2,1,1,29,1,0,1,6,1,0,1,0,0,0,0,0,3,1,2,1,1,2
"92",33,2,20,7,3,3,1,2,0,1,2,3,NA,5000,5000,1,1,1,0,1,1,1,0,0,0,NA,NA,NA,NA,2,1,NA,0,0,2,1,1,29,1,0,1,6,1,0,1,0,0,0,0,0,3,1,2,1,1,2
"93",33,3,21,7,1,1,2,3,0,2,3,1,NA,4000,4000,1,1,1,0,1,1,1,0,0,0,NA,NA,NA,NA,2,1,NA,0,0,2,1,1,29,1,0,1,6,1,0,1,0,0,0,0,0,3,1,2,1,1,2
"94",34,1,10,4,2,1,1,2,0,1,2,1,NA,5000,5000,1,1,0,0,1,1,0,2,1,0,NA,NA,NA,NA,1,1,NA,0,1,2,0,NA,22,1,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,2,2
"95",34,2,11,4,1,3,3,1,0,3,1,3,NA,5000,5000,1,1,0,0,1,1,0,2,1,0,NA,NA,NA,NA,1,1,NA,0,1,2,0,NA,22,1,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,2,2
"96",34,3,12,4,3,2,2,3,0,2,3,2,NA,5000,5000,1,1,0,0,1,1,0,2,1,0,NA,NA,NA,NA,1,1,NA,0,1,2,0,NA,22,1,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,2,2
"97",35,1,23,8,1,1,2,2,0,2,2,1,NA,5000,5000,1,1,1,0,2,0,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,0,1,2,0,NA,35,1,0,0,8,0,1,0,0,0,0,0,0,5,4,3,3,2,1
"98",35,2,24,8,2,3,3,3,0,3,3,3,NA,3500,3500,1,1,1,0,2,0,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,0,1,2,0,NA,35,1,0,0,8,0,1,0,0,0,0,0,0,5,4,3,3,2,1
